Symbol,Date,Price,Analysts,StrongBuy,Buy,Hold,Sell,Lowcast,Forecast,Highcast,Actual
FORR,03/01/2019,50.06000137329102,1,0,1,0,0,0.27,0.27,0.27,0.029
FORR,05/01/2019,51.5099983215332,1,0,1,0,0,0.24,0.24,0.24,-0.0825
FORR,08/01/2019,48.25,1,0,1,0,0,0.36,0.36,0.36,-0.3316
FORR,04/01/2020,29.020000457763672,3,0,3,0,0,0.23,0.79,0.23,0.0706
FORR,05/01/2020,30.29999923706055,3,0,3,0,0,0.05,0.52,0.05,0.0564
FOCS,02/01/2019,28.1200008392334,4,0,1,3,0,0.03,0.36,0.52,0.2767
FOCS,03/01/2019,38.06999969482422,4,0,1,3,0,-0.15,0.13,0.3,-0.0137
FOCS,05/01/2019,37.54999923706055,5,0,2,3,0,0.02,0.18,0.32,-0.2613
FOCS,08/01/2019,27.96999931335449,6,0,3,3,0,0.17,0.54,0.34,-0.1366
FOCS,04/01/2020,21.57999992370605,8,0,7,0,1,-0.23,0.9,1.2,0.2989
FOCS,05/01/2020,22.96999931335449,8,0,7,0,1,-0.31,0.49,0.97,0.4367
FMNB,02/01/2019,13.029999732971193,4,0,2,2,0,0.06,0.18,0.06,0.0576
FMNB,03/01/2019,14.739999771118164,4,0,2,2,0,-0.0,0.11,-0.0,-0.0231
FMNB,08/01/2019,14.65999984741211,2,0,2,0,0,0.09,0.1,0.09,-0.002
FMNB,04/01/2020,11.369999885559082,2,0,2,0,0,0.33,0.36,0.33,0.0449
FMNB,05/01/2020,12.020000457763672,1,0,1,0,0,0.37,0.37,0.37,-0.015
FOLD,02/01/2019,11.84000015258789,7,0,6,1,0,0.09,0.74,0.73,0.1579
FOLD,03/01/2019,12.279999732971193,5,0,4,1,0,-0.0,0.53,0.58,0.0953
FOLD,05/01/2019,13.449999809265135,7,0,6,1,0,0.06,0.42,0.53,-0.0677
FOLD,08/01/2019,12.640000343322756,8,0,7,1,0,0.51,0.55,1.6,-0.3631
FOLD,04/01/2020,8.930000305175781,6,0,5,1,0,0.32,1.06,1.11,0.3975
FOLD,05/01/2020,11.369999885559082,5,0,4,1,0,0.06,0.75,0.69,0.3369
FOSL,03/01/2019,15.829999923706055,3,0,1,1,1,-0.47,0.27,0.12,-0.1725
FOSL,05/01/2019,13.100000381469727,3,0,1,1,1,-0.4,0.44,0.27,-0.1069
FOSL,08/01/2019,11.020000457763672,3,0,1,1,1,-0.22,0.88,0.65,0.1388
FOSL,04/01/2020,3.2000000476837163,2,0,0,1,1,-0.31,0.03,0.38,-0.0375
FOSL,05/01/2020,3.880000114440918,2,0,0,1,1,-0.28,0.08,0.45,0.2036
FPAY,05/01/2019,0.8999999761581421,1,0,1,0,0,2.53,2.53,2.53,0.2333
FPAY,08/01/2019,1.6100000143051147,1,0,1,0,0,0.78,0.78,0.78,-0.0062
FPAY,05/01/2020,1.2200000286102295,1,0,1,0,0,2.1,2.1,2.1,0.4262
FRBA,08/01/2019,11.300000190734865,1,0,1,0,0,0.17,0.17,0.17,-0.0327
FRBA,04/01/2020,6.429999828338622,1,0,1,0,0,0.9,0.9,0.9,0.1773
FRBA,05/01/2020,7.699999809265138,1,0,1,0,0,0.84,0.84,0.84,-0.1584
FOXA,05/01/2019,39.11999893188477,19,0,10,9,0,-0.03,0.24,0.41,-0.068
FOXA,08/01/2019,37.25,22,0,11,10,1,-0.09,0.28,0.58,-0.1482
FOXA,04/01/2020,22.670000076293945,16,0,6,7,3,0.18,0.61,0.93,0.285
FOXA,05/01/2020,25.43000030517578,17,0,7,7,3,-0.23,0.35,0.78,0.0586
FOX,05/01/2019,38.65999984741211,1,0,0,0,1,0.09,0.09,0.09,-0.0476
FOX,05/01/2020,25.0,7,0,4,2,1,-0.21,0.23,0.66,0.072
FLWS,08/01/2018,14.449999809265135,4,0,3,1,0,-0.06,0.09,0.19,-0.1813
FLWS,05/01/2019,21.770000457763672,4,0,4,0,0,-0.06,0.08,0.39,-0.1263
FLWS,08/01/2019,19.700000762939453,5,0,5,0,0,0.04,0.11,0.41,-0.2442
FLWS,05/01/2020,19.3799991607666,6,0,5,1,0,-0.25,0.15,0.35,0.0454
FRSX,08/01/2019,1.7699999809265137,1,0,1,0,0,3.07,3.07,3.07,-0.1808
FRSX,04/01/2020,0.75,1,0,1,0,0,10.67,10.67,10.67,0.1533
FRSX,05/01/2020,0.6079999804496765,1,0,1,0,0,8.09,8.09,8.09,1.5
FRPT,08/01/2018,28.95000076293945,5,0,2,3,0,-0.43,-0.22,0.17,0.2677
FRPT,04/01/2020,60.86000061035156,6,0,4,2,0,0.13,0.3,0.7,0.2898
FRPT,05/01/2020,73.25,7,0,4,3,0,-0.05,0.04,0.39,0.1454
FSBW,02/01/2019,48.9900016784668,1,0,1,0,0,0.18,0.18,0.18,0.0341
FSBW,03/01/2019,52.4000015258789,1,0,1,0,0,0.16,0.16,0.16,-0.0179
FSBW,05/01/2019,51.459999084472656,1,0,1,0,0,0.17,0.17,0.17,0.0105
FSBW,08/01/2019,49.40999984741211,1,0,1,0,0,0.24,0.24,0.24,0.0544
FSBW,04/01/2020,35.400001525878906,1,0,0,1,0,0.85,0.85,0.85,0.2037
FSBW,05/01/2020,40.40999984741211,1,0,0,1,0,0.66,0.66,0.66,-0.0332
FREQ,04/01/2020,17.600000381469727,2,0,2,0,0,0.63,0.69,0.63,0.0534
FREQ,05/01/2020,15.720000267028807,2,0,2,0,0,0.68,0.74,0.68,0.4809
FSFG,08/01/2018,69.73999786376953,1,0,1,0,0,0.09,0.09,0.09,-0.0274
