['PTGX', array([0.21424471], dtype=float32)]
['CARS', array([0.21420933], dtype=float32)]
['ZYME', array([0.21416588], dtype=float32)]
['W', array([0.21403696], dtype=float32)]
['LEV', array([0.21370925], dtype=float32)]
['FNKO', array([0.21344304], dtype=float32)]
['NMTR', array([0.21254538], dtype=float32)]
['BIDU', array([0.21216337], dtype=float32)]
['DVN', array([0.21200413], dtype=float32)]
['RNG', array([0.21187001], dtype=float32)]
['VLO', array([0.21179955], dtype=float32)]
['FOLD', array([0.21126077], dtype=float32)]
['AVGO', array([0.21114485], dtype=float32)]
['MRNS', array([0.2098252], dtype=float32)]
['CNVY', array([0.20967135], dtype=float32)]
['EFX', array([0.20929605], dtype=float32)]
['AOUT', array([0.20915821], dtype=float32)]
['CURI', array([0.20905714], dtype=float32)]
['AHCO', array([0.20877375], dtype=float32)]
['FTNT', array([0.20813437], dtype=float32)]
['BBBY', array([0.20775642], dtype=float32)]
['AVYA', array([0.20700306], dtype=float32)]
['ARNA', array([0.20571968], dtype=float32)]
['IOVA', array([0.20523025], dtype=float32)]
['SU', array([0.20508306], dtype=float32)]
['ENTA', array([0.20477338], dtype=float32)]
['YMAB', array([0.20474112], dtype=float32)]
['TGI', array([0.20459077], dtype=float32)]
['NIO', array([0.20417877], dtype=float32)]
['DAR', array([0.20386896], dtype=float32)]
['DK', array([0.20374252], dtype=float32)]
['REPL', array([0.20301943], dtype=float32)]
['NPTN', array([0.2028202], dtype=float32)]
['WLL', array([0.20267303], dtype=float32)]
['CHPT', array([0.20252796], dtype=float32)]
['ENPH', array([0.2019881], dtype=float32)]
['XEC', array([0.20193699], dtype=float32)]
['SNV', array([0.20184286], dtype=float32)]
['CYTK', array([0.20137171], dtype=float32)]
['CMPS', array([0.20113339], dtype=float32)]
['RGNX', array([0.20095885], dtype=float32)]
['SI', array([0.20086744], dtype=float32)]
['AGIO', array([0.20076537], dtype=float32)]
['AUY', array([0.20049013], dtype=float32)]
['SIX', array([0.19938056], dtype=float32)]
